route,search_date,outbound_date,return_date,airline,price,departure_airport,arrival_airport,departure_time,arrival_time,duration_min,flight_number
CDG-ABJ,2025-12-16,2025-12-20,2026-01-10,Royal Air Maroc,1387,CDG,CMN,2025-12-20 06:55,2025-12-20 10:05,705,AT 703
CDG-ABJ,2025-12-16,2025-12-20,2026-01-10,Royal Air Maroc,1387,CMN,ABJ,2025-12-20 14:10,2025-12-20 17:40,705,AT 535
CDG-ABJ,2025-12-16,2025-12-20,2026-01-10,Air France,1445,CDG,ABJ,2025-12-20 17:00,2025-12-20 22:45,405,AF 706
CDG-ABJ,2025-12-16,2025-12-20,2026-01-10,Air Cote D'Ivoire,1485,CDG,ABJ,2025-12-20 08:00,2025-12-20 13:40,400,HF 177
CDG-ABJ,2025-12-16,2025-12-20,2026-01-10,Air France,1521,CDG,ABJ,2025-12-20 14:10,2025-12-20 19:50,400,AF 702
CDG-ABJ,2025-12-16,2025-12-20,2026-01-10,Lufthansa,1464,CDG,MUC,2025-12-20 18:20,2025-12-20 19:45,1500,LH 2233
CDG-ABJ,2025-12-16,2025-12-20,2026-01-10,Brussels Airlines,1464,MUC,BRU,2025-12-20 21:20,2025-12-20 22:40,1500,SN 2652
CDG-ABJ,2025-12-16,2025-12-20,2026-01-10,Brussels Airlines,1464,BRU,OUA,2025-12-21 10:30,2025-12-21 15:50,1500,SN 255
CDG-ABJ,2025-12-16,2025-12-20,2026-01-10,Brussels Airlines,1464,OUA,ABJ,2025-12-21 16:50,2025-12-21 18:20,1500,SN 255
CDG-ABJ,2025-12-16,2025-12-20,2026-01-10,Lufthansa,1494,CDG,FRA,2025-12-20 19:10,2025-12-20 20:25,1450,LH 1041
CDG-ABJ,2025-12-16,2025-12-20,2026-01-10,Lufthansa,1494,FRA,BRU,2025-12-21 07:20,2025-12-21 08:20,1450,LH 1006
CDG-ABJ,2025-12-16,2025-12-20,2026-01-10,Brussels Airlines,1494,BRU,OUA,2025-12-21 10:30,2025-12-21 15:50,1450,SN 255
CDG-ABJ,2025-12-16,2025-12-20,2026-01-10,Brussels Airlines,1494,OUA,ABJ,2025-12-21 16:50,2025-12-21 18:20,1450,SN 255
CDG-ABJ,2025-12-16,2025-12-20,2026-01-10,Royal Air Maroc,1667,CDG,CMN,2025-12-20 17:35,2025-12-20 20:45,735,AT 789
CDG-ABJ,2025-12-16,2025-12-20,2026-01-10,Royal Air Maroc,1667,CMN,ABJ,2025-12-21 01:20,2025-12-21 04:50,735,AT 533
CDG-ABJ,2025-12-16,2025-12-20,2026-01-10,Brussels Airlines,1796,CDG,BRU,2025-12-20 08:25,2025-12-20 09:25,605,SN 3632
CDG-ABJ,2025-12-16,2025-12-20,2026-01-10,Brussels Airlines,1796,BRU,ABJ,2025-12-20 11:30,2025-12-20 17:30,605,SN 251
CDG-ABJ,2025-12-16,2025-12-20,2026-01-10,Ethiopian,1875,CDG,ADD,2025-12-20 21:15,2025-12-21 06:35,2385,ET 735
CDG-ABJ,2025-12-16,2025-12-20,2026-01-10,Ethiopian,1875,ADD,ABJ,2025-12-22 09:00,2025-12-22 12:00,2385,ET 512
