route,search_date,outbound_date,return_date,airline,price,departure_airport,arrival_airport,departure_time,arrival_time,duration_min,flight_number
CDG-JFK,2025-12-16,2025-12-20,2026-01-10,Icelandair,934,CDG,KEF,2025-12-20 13:00,2025-12-20 15:40,660,FI 543
CDG-JFK,2025-12-16,2025-12-20,2026-01-10,Icelandair,934,KEF,JFK,2025-12-20 16:50,2025-12-20 18:00,660,FI 615
CDG-JFK,2025-12-16,2025-12-20,2026-01-10,American,1204,CDG,JFK,2025-12-20 09:15,2025-12-20 11:29,494,AA 45
CDG-JFK,2025-12-16,2025-12-20,2026-01-10,Delta,1233,CDG,JFK,2025-12-20 14:35,2025-12-20 17:15,520,DL 267
CDG-JFK,2025-12-16,2025-12-20,2026-01-10,Air France,1236,CDG,JFK,2025-12-20 16:30,2025-12-20 19:05,515,AF 8
CDG-JFK,2025-12-16,2025-12-20,2026-01-10,JetBlue,1240,CDG,JFK,2025-12-20 13:35,2025-12-20 16:28,533,B6 1408
CDG-JFK,2025-12-16,2025-12-20,2026-01-10,Scandinavian Airlines,944,CDG,OSL,2025-12-20 22:40,2025-12-21 00:55,2825,SK 836
CDG-JFK,2025-12-16,2025-12-20,2026-01-10,Scandinavian Airlines,944,OSL,CPH,2025-12-21 21:05,2025-12-21 22:20,2825,SK 1475
CDG-JFK,2025-12-16,2025-12-20,2026-01-10,Scandinavian Airlines,944,CPH,JFK,2025-12-22 12:55,2025-12-22 15:45,2825,SK 915
CDG-JFK,2025-12-16,2025-12-20,2026-01-10,Scandinavian Airlines,944,CDG,OSL,2025-12-20 22:40,2025-12-21 00:55,2825,SK 836
CDG-JFK,2025-12-16,2025-12-20,2026-01-10,Scandinavian Airlines,944,OSL,CPH,2025-12-21 17:10,2025-12-21 18:25,2825,SK 1465
CDG-JFK,2025-12-16,2025-12-20,2026-01-10,Scandinavian Airlines,944,CPH,JFK,2025-12-22 12:55,2025-12-22 15:45,2825,SK 915
CDG-JFK,2025-12-16,2025-12-20,2026-01-10,ITA,996,CDG,FCO,2025-12-20 06:05,2025-12-20 08:10,850,AZ 317
CDG-JFK,2025-12-16,2025-12-20,2026-01-10,ITA,996,FCO,JFK,2025-12-20 10:30,2025-12-20 14:15,850,AZ 608
CDG-JFK,2025-12-16,2025-12-20,2026-01-10,Air France,1236,CDG,JFK,2025-12-20 18:30,2025-12-20 21:00,510,AF 10
CDG-JFK,2025-12-16,2025-12-20,2026-01-10,Air France,1236,CDG,JFK,2025-12-20 20:30,2025-12-20 22:45,495,AF 12
CDG-JFK,2025-12-16,2025-12-20,2026-01-10,Air France,1257,CDG,JFK,2025-12-20 10:30,2025-12-20 12:55,505,AF 4
CDG-JFK,2025-12-16,2025-12-20,2026-01-10,Delta,1320,CDG,JFK,2025-12-20 11:45,2025-12-20 14:15,510,DL 263
CDG-JFK,2025-12-16,2025-12-20,2026-01-10,Air France,1327,CDG,JFK,2025-12-20 13:30,2025-12-20 16:00,510,AF 6
CDG-JFK,2025-12-16,2025-12-20,2026-01-10,Air France,1375,CDG,JFK,2025-12-20 08:30,2025-12-20 10:45,495,AF 2
