airline,price,departure_airport,arrival_airport,departure_time,arrival_time,duration,flight_number
Royal Air Maroc,825,CDG,CMN,2025-12-23 07:00,2025-12-23 10:10,700,AT 703
Royal Air Maroc,825,CMN,ABJ,2025-12-23 14:10,2025-12-23 17:40,700,AT 535
Air France,1109,CDG,ABJ,2025-12-23 17:00,2025-12-23 22:45,405,AF 706
Air France,1135,CDG,ABJ,2025-12-23 14:10,2025-12-23 19:50,400,AF 702
Royal Air Maroc,825,CDG,CMN,2025-12-23 12:15,2025-12-23 15:25,1825,AT 779
Royal Air Maroc,825,CMN,ABJ,2025-12-24 14:10,2025-12-24 17:40,1825,AT 535
Royal Air Maroc,895,CDG,CMN,2025-12-23 12:15,2025-12-23 15:25,1055,AT 779
Royal Air Maroc,895,CMN,ABJ,2025-12-24 01:20,2025-12-24 04:50,1055,AT 533
Royal Air Maroc,1299,CDG,CMN,2025-12-23 17:35,2025-12-23 20:45,735,AT 789
Royal Air Maroc,1299,CMN,ABJ,2025-12-24 01:20,2025-12-24 04:50,735,AT 533
Brussels Airlines,1472,CDG,BRU,2025-12-23 10:15,2025-12-23 11:10,1985,SN 3634
Brussels Airlines,1472,BRU,OUA,2025-12-24 10:30,2025-12-24 15:50,1985,SN 255
Brussels Airlines,1472,OUA,ABJ,2025-12-24 16:50,2025-12-24 18:20,1985,SN 255
Ethiopian,1774,CDG,ADD,2025-12-23 21:15,2025-12-24 06:35,945,ET 735
Ethiopian,1774,ADD,ABJ,2025-12-24 09:00,2025-12-24 12:00,945,ET 512
Air Cote D'Ivoire,1978,CDG,ABJ,2025-12-23 08:00,2025-12-23 13:40,400,HF 177
Brussels Airlines,2041,CDG,BRU,2025-12-23 08:25,2025-12-23 09:25,655,SN 3632
Brussels Airlines,2041,BRU,OUA,2025-12-23 10:30,2025-12-23 15:50,655,SN 255
Brussels Airlines,2041,OUA,ABJ,2025-12-23 16:50,2025-12-23 18:20,655,SN 255
