airline,price,departure_airport,arrival_airport,departure_time,arrival_time,duration,flight_number
Air Cote D'Ivoire,894,CDG,ABJ,2025-12-23 08:00,2025-12-23 13:40,400,HF 177
Royal Air Maroc,899,CDG,CMN,2025-12-23 17:35,2025-12-23 20:45,735,AT 789
Royal Air Maroc,899,CMN,ABJ,2025-12-24 01:20,2025-12-24 04:50,735,AT 533
Air France,985,CDG,ABJ,2025-12-23 17:00,2025-12-23 22:45,405,AF 706
Air France,1030,CDG,ABJ,2025-12-23 14:10,2025-12-23 19:50,400,AF 702
Brussels Airlines,826,CDG,BRU,2025-12-23 10:15,2025-12-23 11:10,1985,SN 3634
Brussels Airlines,826,BRU,OUA,2025-12-24 10:30,2025-12-24 15:50,1985,SN 255
Brussels Airlines,826,OUA,ABJ,2025-12-24 16:50,2025-12-24 18:20,1985,SN 255
Air Algerie,861,CDG,ALG,2025-12-23 20:40,2025-12-23 22:55,1795,AH 1013
Air Algerie,861,ALG,OUA,2025-12-24 19:40,2025-12-24 23:10,1795,AH 5322
Air Algerie,861,OUA,ABJ,2025-12-25 00:10,2025-12-25 01:35,1795,AH 5322
Air Senegal,930,CDG,DSS,2025-12-23 08:45,2025-12-23 13:30,670,HC 404
Air Senegal,930,DSS,CKY,2025-12-23 14:45,2025-12-23 16:15,670,HC 215
Air Senegal,930,CKY,ABJ,2025-12-23 17:15,2025-12-23 18:55,670,HC 215
Air Senegal,930,CDG,DSS,2025-12-23 08:45,2025-12-23 13:30,1620,HC 404
Air Senegal,930,DSS,ABJ,2025-12-24 08:00,2025-12-24 10:45,1620,HC 305
Brussels Airlines,1114,CDG,BRU,2025-12-23 08:25,2025-12-23 09:25,655,SN 3632
Brussels Airlines,1114,BRU,OUA,2025-12-23 10:30,2025-12-23 15:50,655,SN 255
Brussels Airlines,1114,OUA,ABJ,2025-12-23 16:50,2025-12-23 18:20,655,SN 255
